PostalCode,Borough,Neighborhood,Latitude,Longitude,Cluster Labels,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue
75103 CEDEX 02,Paris 02,Paris 02,48.8655,2.3426,4,French Restaurant,Italian Restaurant,Bakery,Bistro,Restaurant,Spa,Pizza Place,Perfume Shop,Salad Place,Cheese Shop
75115 CEDEX 15,Paris 15,Paris 15,48.8412,2.3003,3,French Restaurant,Hotel,Italian Restaurant,Park,Japanese Restaurant,Supermarket,Bar,Lebanese Restaurant,Coffee Shop,Gym / Fitness Center
75118 CEDEX 02,Paris 02,Paris 02,48.8655,2.3426,4,French Restaurant,Italian Restaurant,Bakery,Bistro,Restaurant,Spa,Pizza Place,Perfume Shop,Salad Place,Cheese Shop
75129 CEDEX 11,Paris 11,Paris 11,48.8574,2.3795,1,French Restaurant,Bistro,Café,Cocktail Bar,Bar,Pastry Shop,Italian Restaurant,Wine Bar,Plaza,Pub
75158 CEDEX 14,Paris 14,Paris 14,48.8331,2.3264,4,French Restaurant,Italian Restaurant,Hotel,Bar,Bistro,Wine Shop,Garden,Bakery,Sushi Restaurant,Brasserie
75161 CEDEX 04,Paris 04,Paris 04,48.8601,2.3507,1,French Restaurant,Bakery,Art Gallery,Plaza,Cocktail Bar,Hotel,Gay Bar,Bar,Burger Joint,Gym / Fitness Center
75171 CEDEX 19,Paris 19,Paris 19,48.8817,2.3822,4,French Restaurant,Italian Restaurant,Bar,Restaurant,Pool,Park,Scenic Lookout,Seafood Restaurant,Martial Arts Dojo,Moroccan Restaurant
75181 CEDEX 04,Paris 04,Paris 04,48.8601,2.3507,1,French Restaurant,Bakery,Art Gallery,Plaza,Cocktail Bar,Hotel,Gay Bar,Bar,Burger Joint,Gym / Fitness Center
75188 CEDEX 04,Paris 04,Paris 04,48.8601,2.3507,1,French Restaurant,Bakery,Art Gallery,Plaza,Cocktail Bar,Hotel,Gay Bar,Bar,Burger Joint,Gym / Fitness Center
75192 CEDEX 04,Paris 04,Paris 04,48.8601,2.3507,1,French Restaurant,Bakery,Art Gallery,Plaza,Cocktail Bar,Hotel,Gay Bar,Bar,Burger Joint,Gym / Fitness Center
75212 CEDEX 13,Paris 13,Paris 13,48.8322,2.3561,3,Hotel,French Restaurant,Thai Restaurant,Vietnamese Restaurant,Indian Restaurant,Bar,Asian Restaurant,Bakery,Italian Restaurant,Gaming Cafe
