sep=;
country code;postal code;place name;admin name1;admin code1;admin name2;admin code2;admin name3;admin code3;latitude;longitude;accuracy;coordinates,,
DE;14089;Berlin;Berlin;BE;;00;Berlin, Stadt;11000;52.4708;13.1516;6;52.4708,13.1516
DE;10117;Berlin;Berlin;BE;;00;Berlin, Stadt;11000;52.517;13.3872;6;52.517,13.3872
DE;10318;Berlin;Berlin;BE;;00;Berlin, Stadt;11000;52.4835;13.5287;6;52.4835,13.5287
DE;10553;Berlin;Berlin;BE;;00;Berlin, Stadt;11000;52.5305;13.3215;6;52.5305,13.3215
DE;10823;Berlin;Berlin;BE;;00;Berlin, Stadt;11000;52.4873;13.3509;6;52.4873,13.3509
DE;10961;Berlin Kreuzberg;Berlin;BE;;00;Berlin, Stadt;11000;52.4926;13.3975;6;52.4926,13.3975
DE;12057;Berlin;Berlin;BE;;00;Berlin, Stadt;11000;52.4684;13.4633;6;52.4684,13.4633
DE;12165;Berlin;Berlin;BE;;00;Berlin, Stadt;11000;52.4557;13.3148;6;52.4557,13.3148
DE;12305;Berlin;Berlin;BE;;00;Berlin, Stadt;11000;52.4033;13.4021;6;52.4033,13.4021
DE;12359;Berlin;Berlin;BE;;00;Berlin, Stadt;11000;52.4473;13.4531;6;52.4473,13.4531
DE;12435;Berlin;Berlin;BE;;00;Berlin, Stadt;11000;52.4866;13.4672;6;52.4866,13.4672
DE;12526;Berlin;Berlin;BE;;00;Berlin, Stadt;11000;52.3976;13.5642;6;52.3976,13.5642
DE;12679;Berlin;Berlin;BE;;00;Berlin, Stadt;11000;52.5501;13.566;6;52.5501,13.566
DE;12689;Berlin;Berlin;BE;;00;Berlin, Stadt;11000;52.5665;13.5675;6;52.5665,13.5675
DE;13156;Berlin;Berlin;BE;;00;Berlin, Stadt;11000;52.5824;13.3997;6;52.5824,13.3997
DE;13405;Berlin;Berlin;BE;;00;Berlin, Stadt;11000;52.5596;13.2967;6;52.5596,13.2967
DE;13439;Berlin;Berlin;BE;;00;Berlin, Stadt;11000;52.5976;13.3584;6;52.5976,13.3584
DE;13467;Berlin;Berlin;BE;;00;Berlin, Stadt;11000;52.6171;13.3075;6;52.6171,13.3075
DE;13505;Berlin;Berlin;BE;;00;Berlin, Stadt;11000;52.5839;13.2404;6;52.5839,13.2404
DE;10119;Berlin;Berlin;BE;;00;Berlin, Stadt;11000;52.5305;13.4053;6;52.5305,13.4053
DE;10243;Berlin Friedrichshain;Berlin;BE;;00;Berlin, Stadt;11000;52.5123;13.4394;6;52.5123,13.4394
DE;10787;Berlin;Berlin;BE;;00;Berlin, Stadt;11000;52.5078;13.3439;6;52.5078,13.3439
DE;10789;Berlin;Berlin;BE;;00;Berlin, Stadt;11000;52.5017;13.3377;6;52.5017,13.3377
DE;11011;Berlin;Berlin;BE;;00;Berlin, Stadt;11000;52.5179;13.3759;4;52.5179,13.3759
DE;12047;Berlin;Berlin;BE;;00;Berlin, Stadt;11000;52.4905;13.4285;6;52.4905,13.4285
DE;12053;Berlin;Berlin;BE;;00;Berlin, Stadt;11000;52.4768;13.4325;6;52.4768,13.4325
DE;12157;Berlin;Berlin;BE;;00;Berlin, Stadt;11000;52.4653;13.3462;6;52.4653,13.3462
DE;12167;Berlin;Berlin;BE;;00;Berlin, Stadt;11000;52.4486;13.3338;6;52.4486,13.3338
DE;12203;Berlin;Berlin;BE;;00;Berlin, Stadt;11000;52.4444;13.3096;6;52.4444,13.3096
DE;12207;Berlin;Berlin;BE;;00;Berlin, Stadt;11000;52.4199;13.3133;6;52.4199,13.3133
DE;12307;Berlin;Berlin;BE;;00;Berlin, Stadt;11000;52.3886;13.3907;6;52.3886,13.3907
DE;12355;Berlin;Berlin;BE;;00;Berlin, Stadt;11000;52.411;13.4978;6;52.411,13.4978
DE;12437;Berlin;Berlin;BE;;00;Berlin, Stadt;11000;52.4624;13.4817;6;52.4624,13.4817
DE;12557;Berlin;Berlin;BE;;00;Berlin, Stadt;11000;52.4303;13.592;6;52.4303,13.592
DE;12587;Berlin;Berlin;BE;;00;Berlin, Stadt;11000;52.4586;13.6362;6;52.4586,13.6362
DE;13088;Berlin;Berlin;BE;;00;Berlin, Stadt;11000;52.5603;13.4708;6;52.5603,13.4708
DE;13437;Berlin;Berlin;BE;;00;Berlin, Stadt;11000;52.5905;13.3284;6;52.5905,13.3284
DE;13597;Berlin;Berlin;BE;;00;Berlin, Stadt;11000;52.5272;13.2195;6;52.5272,13.2195
DE;14052;Berlin;Berlin;BE;;00;Berlin, Stadt;11000;52.5156;13.2569;6;52.5156,13.2569
DE;14199;Berlin;Berlin;BE;;00;Berlin, Stadt;11000;52.4777;13.2951;6;52.4777,13.2951
DE;10178;Berlin;Berlin;BE;;00;Berlin, Stadt;11000;52.5213;13.4096;6;52.5213,13.4096
DE;10245;Berlin Friedrichshain;Berlin;BE;;00;Berlin, Stadt;11000;52.5007;13.4647;6;52.5007,13.4647
DE;10365;Berlin;Berlin;BE;;00;Berlin, Stadt;11000;52.5206;13.4969;6;52.5206,13.4969
DE;10555;Berlin;Berlin;BE;;00;Berlin, Stadt;11000;52.5215;13.3355;6;52.5215,13.3355
DE;10557;Berlin;Berlin;BE;;00;Berlin, Stadt;11000;52.5233;13.3594;6;52.5233,13.3594
DE;10709;Berlin;Berlin;BE;;00;Berlin, Stadt;11000;52.4939;13.3031;6;52.4939,13.3031
DE;10785;Berlin;Berlin;BE;;00;Berlin, Stadt;11000;52.5073;13.3643;6;52.5073,13.3643
DE;10827;Berlin;Berlin;BE;;00;Berlin, Stadt;11000;52.4838;13.3543;6;52.4838,13.3543
DE;12105;Berlin;Berlin;BE;;00;Berlin, Stadt;11000;52.4492;13.3714;6;52.4492,13.3714
DE;12249;Berlin;Berlin;BE;;00;Berlin, Stadt;11000;52.4264;13.3518;6;52.4264,13.3518
DE;12279;Berlin;Berlin;BE;;00;Berlin, Stadt;11000;52.4106;13.3531;6;52.4106,13.3531
DE;12353;Berlin;Berlin;BE;;00;Berlin, Stadt;11000;52.4227;13.4589;6;52.4227,13.4589
DE;12487;Berlin;Berlin;BE;;00;Berlin, Stadt;11000;52.4437;13.5052;6;52.4437,13.5052
DE;12623;Berlin;Berlin;BE;;00;Berlin, Stadt;11000;52.5026;13.6165;6;52.5026,13.6165
DE;12687;Berlin;Berlin;BE;;00;Berlin, Stadt;11000;52.5564;13.5645;6;52.5564,13.5645
DE;13086;Berlin;Berlin;BE;;00;Berlin, Stadt;11000;52.5565;13.4482;6;52.5565,13.4482
DE;13158;Berlin;Berlin;BE;;00;Berlin, Stadt;11000;52.5932;13.3835;6;52.5932,13.3835
DE;13509;Berlin;Berlin;BE;;00;Berlin, Stadt;11000;52.5892;13.3006;6;52.5892,13.3006
DE;13581;Berlin;Berlin;BE;;00;Berlin, Stadt;11000;52.531;13.1794;6;52.531,13.1794
DE;13591;Berlin;Berlin;BE;;00;Berlin, Stadt;11000;52.5345;13.1405;6;52.5345,13.1405
